dataset,experiment,x_label,x_value,n_e,n_c,capacity,profile_size,initial_assignment,iteration_number,seed,method,total_rank_improvement,execution_time,peak_memory_mb,cycle_count
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,4,120127,ReACT-TTC,1255,0.040734041,1.210755348,133
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,4,120127,TTC,1255,0.036733409,1.209984779,133
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,5,120128,W-TTC,1478,0.034198,0.571350098,126
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,5,120128,ReACT-TTC,1282,0.040643452,1.250693321,121
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,5,120128,TTC,1282,0.037777517,1.250655174,121
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,6,120129,W-TTC,1502,0.035348607,0.587676048,120
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,6,120129,ReACT-TTC,1272,0.049123997,1.21296978,129
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,6,120129,TTC,1272,0.035973946,1.205653191,129
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,7,120130,W-TTC,1437,0.030357163,0.626034737,120
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,7,120130,ReACT-TTC,970,0.049134674,1.24379158,119
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,7,120130,TTC,970,0.045697708,1.244119644,119
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,8,120131,W-TTC,1471,0.032204102,0.610235214,114
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,8,120131,ReACT-TTC,1094,0.04840329,1.220859528,123
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,8,120131,TTC,1094,0.043483913,1.220088959,123
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,9,120132,W-TTC,1675,0.031406868,0.650709152,116
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,9,120132,ReACT-TTC,1264,0.043662033,1.262074471,118
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,9,120132,TTC,1264,0.040883687,1.262036324,118
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,10,120133,W-TTC,1340,0.033683832,0.642525673,123
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,10,120133,ReACT-TTC,946,0.053555684,1.253549576,122
